county,percentage w internet,matched edu,matched population,matched temp,matched humidity,matched emissions
"Glynn County, Georgia",72.4,20.8,85292,62.9,68,57
"Gordon County, Georgia",72.3,10.6,57963,52,68,57
"Grady County, Georgia",62.5,10.4,24633,60.8,68,57
"Greene County, Georgia",68.7,22.1,18324,55.6,68,57
"Gwinnett County, Georgia",87.6,23.6,936250,54,68,57
"Habersham County, Georgia",67.8,14.1,45328,51.4,68,57
"Hall County, Georgia",79.2,15.5,204441,53.1,68,57
"Hancock County, Georgia",48.6,7.6,8457,56.8,68,57
"Haralson County, Georgia",66.8,11.8,29792,52.7,68,57
"Harris County, Georgia",81.5,22.5,35236,56,68,57
"Hart County, Georgia",63.5,12.5,26205,54.8,68,57
"Heard County, Georgia",58.8,6.2,11923,55.2,68,57
"Henry County, Georgia",87.3,17.8,234561,56.1,68,57
"Houston County, Georgia",80.7,20,157863,58.6,68,57
"Irwin County, Georgia",55.5,11.8,9416,58.8,68,57
"Jackson County, Georgia",79.5,15.3,72977,54.1,68,57
"Jasper County, Georgia",69.9,10,14219,56.1,68,57
"Jeff Davis County, Georgia",58,7,15115,60.8,68,57
"Jefferson County, Georgia",50.1,7.4,15362,58.3,68,57
"Jenkins County, Georgia",51.7,3.6,8676,59.4,68,57
"Johnson County, Georgia",52,5.1,9643,58.9,68,57
"Jones County, Georgia",75.9,14.3,28735,57.2,68,57
"Lamar County, Georgia",66.6,9.1,19077,56.9,68,57
"Lanier County, Georgia",66.4,13.4,10423,59.3,68,57
"Laurens County, Georgia",62.3,11.5,47546,59.3,68,57
"Lee County, Georgia",85.2,17.7,29992,58,68,57
"Liberty County, Georgia",78.5,11.3,61435,61.8,68,57
"Lincoln County, Georgia",55.6,10.3,7921,56.5,68,57
"Long County, Georgia",70,9.1,19559,61.6,68,57
"Lowndes County, Georgia",69.5,15.4,117406,59.7,68,57
"Lumpkin County, Georgia",79,19.5,33610,51.1,68,57
"McDuffie County, Georgia",62.8,10.1,21312,56.9,68,57
"McIntosh County, Georgia",66.7,13.6,14378,62.6,68,57
"Macon County, Georgia",57.9,7.3,12947,58.1,68,57
"Madison County, Georgia",73.6,13.1,29880,54.5,68,57
"Marion County, Georgia",58.9,9.6,8359,56.9,68,57
"Meriwether County, Georgia",56.6,7.6,21167,56.2,68,57
"Miller County, Georgia",46,13,5718,60,68,57
"Mitchell County, Georgia",53.4,8.2,21863,58.7,68,57
"Monroe County, Georgia",73.5,18.5,27578,57,68,57
"Montgomery County, Georgia",65.5,10.8,9172,60.6,68,57
"Morgan County, Georgia",69.5,16.7,19276,55.2,68,57
"Murray County, Georgia",65.3,7,40096,51.7,68,57
"Muscogee County, Georgia",71.1,17.9,195769,56.7,68,57
"Newton County, Georgia",81.6,13.1,111744,55.4,68,57
"Oconee County, Georgia",88.7,32.3,40280,54.6,68,57
"Oglethorpe County, Georgia",66.6,13.4,15259,55,68,57
"Paulding County, Georgia",86.2,15.2,168667,53.5,68,57
"Peach County, Georgia",65.5,14.3,27546,58.1,68,57
"Pickens County, Georgia",75.4,16.3,32591,52.1,68,57
"Pierce County, Georgia",61.3,8.9,19465,61.8,68,57
"Pike County, Georgia",70.8,13,18962,56.8,68,57
"Polk County, Georgia",63.4,8.3,42613,52.5,68,57
"Pulaski County, Georgia",63.3,9.9,11137,59.2,68,57
"Putnam County, Georgia",71.2,17,22119,56.3,68,57
"Quitman County, Georgia",37.8,8.8,2299,57.5,68,57
"Rabun County, Georgia",73.5,21.5,17137,49.1,68,57
"Randolph County, Georgia",52,8.3,6778,57.5,68,57
"Richmond County, Georgia",68.5,14.8,202518,58.1,68,57
"Rockdale County, Georgia",81.3,17.9,90896,55.3,68,57
"Schley County, Georgia",69.9,8,5257,57.6,68,57
"Screven County, Georgia",64.6,10.4,13966,59.4,68,57
"Seminole County, Georgia",52.6,11.4,8090,61.3,68,57
"Spalding County, Georgia",68.4,12.3,66703,56.6,68,57
"Stephens County, Georgia",71.7,12.3,25925,52.7,68,57
"Stewart County, Georgia",36,10.5,6621,57,68,57
"Sumter County, Georgia",59.9,12.8,29524,58,68,57
"Talbot County, Georgia",53.5,9.6,6195,56.7,68,57
"Taliaferro County, Georgia",47.9,4.7,1537,56,68,57
"Tattnall County, Georgia",68,10,25286,61.3,68,57
"Taylor County, Georgia",56.9,9.5,8020,57.4,68,57
"Telfair County, Georgia",44.3,5.2,15860,60.1,68,57
"Terrell County, Georgia",57.3,7.1,8531,57.6,68,57
"Thomas County, Georgia",69.6,16.5,44451,60,68,57
"Tift County, Georgia",61.9,11,40644,57.9,68,57
"Toombs County, Georgia",59.8,10.8,26830,61,68,57
"Towns County, Georgia",71.9,23.5,12037,48.6,68,57
"Treutlen County, Georgia",52.2,10.7,6901,60,68,57
"Troup County, Georgia",67,13.3,69922,55.7,68,57
"Turner County, Georgia",54.5,7.6,7985,58.1,68,57
"Twiggs County, Georgia",61.9,7.9,8120,58.4,68,57
"Union County, Georgia",73.4,17.4,24511,48.8,68,57
"Upson County, Georgia",65.6,9.5,26320,57.1,68,57
"Walker County, Georgia",69.1,13.4,69761,50.9,68,57
"Walton County, Georgia",77.4,14.9,94593,54.6,68,57
"Ware County, Georgia",55.4,10.4,35734,62.3,68,57
"Warren County, Georgia",46.4,7.8,5254,56.7,68,57
"Washington County, Georgia",58.1,10.6,20374,58.1,68,57
"Wayne County, Georgia",61.7,8.5,29927,61.6,68,57
"Webster County, Georgia",53.4,7.8,2607,57.2,68,57
"Wheeler County, Georgia",41.4,8.2,7855,60.4,68,57
"White County, Georgia",70.4,14.2,30798,50.8,68,57
"Whitfield County, Georgia",66.1,10.6,104628,51.6,68,57
"Wilcox County, Georgia",52.4,8.8,8635,59.1,68,57
"Wilkes County, Georgia",49.3,8.2,9777,56,68,57
"Wilkinson County, Georgia",59,7.8,8954,58.3,68,57
"Worth County, Georgia",61.8,7.3,20247,57.7,68,57
"Hawaii County, Hawaii",76.6,21.1,200629,80.5,73.3,7.00
"Honolulu County, Hawaii",82.1,24,1016508,80.5,73.3,7.00
"Kalawao County, Hawaii",21.6,208.5,82,80.5,73.3,7.00
"Kauai County, Hawaii",76.5,20.1,73298,80.5,73.3,7.00
"Maui County, Hawaii",80.1,20.5,164754,80.5,73.3,7.00
"Ada County, Idaho",87.8,25.7,494967,33,54.5,5
"Adams County, Idaho",78.2,14.2,4379,26.4,54.5,5
"Bannock County, Idaho",80.9,17.1,87018,27.1,54.5,5
"Bear Lake County, Idaho",73.6,11.5,6372,23.8,54.5,5
"Benewah County, Idaho",68.4,12.2,9530,30.6,54.5,5
"Bingham County, Idaho",77.3,11.9,47992,26,54.5,5
"Blaine County, Idaho",81.8,26.3,24272,24.5,54.5,5
"Boise County, Idaho",85,22.4,7610,26.5,54.5,5
"Bonner County, Idaho",77.8,18.8,47110,26.9,54.5,5
"Bonneville County, Idaho",81.3,17.7,123964,24,54.5,5
"Boundary County, Idaho",75.1,12.5,12056,24.1,54.5,5
"Butte County, Idaho",76.1,13.1,2574,22.1,54.5,5
"Camas County, Idaho",79.3,16.2,1077,25.2,54.5,5
"Canyon County, Idaho",81.1,12.1,231105,33.4,54.5,5
"Caribou County, Idaho",79.8,11.2,7027,23.8,54.5,5
"Cassia County, Idaho",76.4,11.3,24655,28.6,54.5,5
"Clark County, Idaho",48.5,11.9,790,20.6,54.5,5
"Clearwater County, Idaho",73.5,13.5,8734,28.6,54.5,5
"Custer County, Idaho",79.6,21.5,4275,20.2,54.5,5
"Elmore County, Idaho",79.2,12.3,28666,29.9,54.5,5
"Franklin County, Idaho",84.5,9.8,14194,27.4,54.5,5
"Fremont County, Idaho",77.9,12.6,13388,20.6,54.5,5
"Gem County, Idaho",74.3,12.2,19123,30.5,54.5,5
"Gooding County, Idaho",69.4,10.7,15598,30.2,54.5,5
"Idaho County, Idaho",75.2,15.3,16541,25.2,54.5,5
"Jefferson County, Idaho",85.2,13.7,30891,24,54.5,5
"Jerome County, Idaho",68.6,8.9,24237,30.7,54.5,5
"Kootenai County, Idaho",81,17.5,171362,30.2,54.5,5
"Latah County, Idaho",88.1,25.8,39517,31.4,54.5,5
"Lemhi County, Idaho",70.9,17.8,7974,20.9,54.5,5
"Lewis County, Idaho",67.8,14.9,3533,29.8,54.5,5
"Lincoln County, Idaho",65.6,7.4,5127,28.4,54.5,5
"Madison County, Idaho",90.7,12.2,52913,23,54.5,5
"Minidoka County, Idaho",69.7,8.3,21613,28.4,54.5,5
"Nez Perce County, Idaho",77.8,16.2,42090,32.8,54.5,5
"Oneida County, Idaho",78.2,13.8,4564,27.2,54.5,5
"Owyhee County, Idaho",68.6,8.1,11913,29.8,54.5,5
"Payette County, Idaho",76.4,10.1,25386,33.2,54.5,5
"Power County, Idaho",75.4,9.4,7878,26.7,54.5,5
"Shoshone County, Idaho",71.5,7.4,13169,27.4,54.5,5
"Teton County, Idaho",85.2,28.2,11630,19.7,54.5,5
"Twin Falls County, Idaho",77.2,14.2,90046,29.8,54.5,5
"Valley County, Idaho",90.2,22.4,11746,22,54.5,5
"Washington County, Idaho",68.5,13,10500,30.3,54.5,5
"Adams County, Illinois",71.2,17.7,65435,42.6,70.5,87
"Alexander County, Illinois",35,8.6,5761,46.7,70.5,87
"Bond County, Illinois",70.4,15.7,16426,44.4,70.5,87
"Boone County, Illinois",82.5,15.9,53544,40.1,70.5,87
"Brown County, Illinois",63,9.4,6578,42,70.5,87
"Bureau County, Illinois",73.4,14.8,32628,41,70.5,87
"Calhoun County, Illinois",63.2,11.5,4739,44.6,70.5,87
"Carroll County, Illinois",72.5,14.8,14305,39.5,70.5,87
"Cass County, Illinois",66.7,11,12147,42.4,70.5,87
"Champaign County, Illinois",83.7,26.3,209689,42.2,70.5,87
"Christian County, Illinois",73.1,13.2,32304,43.2,70.5,87
"Clark County, Illinois",72.1,15.4,15441,44.1,70.5,87
"Clay County, Illinois",71.6,10.8,13184,45.1,70.5,87
"Clinton County, Illinois",73.1,15.5,37562,45.2,70.5,87
"Coles County, Illinois",74.3,16.9,50621,43.5,70.5,87
"Cook County, Illinois",78.1,27.8,5150233,42.6,70.5,87
"Crawford County, Illinois",65.3,12.3,18667,44.4,70.5,87
"Cumberland County, Illinois",68.2,13.3,10766,44.1,70.5,87
"DeKalb County, Illinois",82.4,19.1,104897,40.5,70.5,87
"De Witt County, Illinois",71.3,14.6,15638,42.4,70.5,87
"Douglas County, Illinois",68.8,13.5,19465,42.9,70.5,87
"DuPage County, Illinois",87.3,34.7,922921,41.7,70.5,87
"Edgar County, Illinois",66.8,13.2,17161,43.1,70.5,87
"Edwards County, Illinois",65.8,9.4,6395,45.4,70.5,87
"Effingham County, Illinois",72.7,16,34008,44.3,70.5,87
"Fayette County, Illinois",59.5,8.8,21336,44.4,70.5,87
"Ford County, Illinois",74.4,15.4,12961,42,70.5,87
"Franklin County, Illinois",63.6,12.1,38469,45,70.5,87
"Fulton County, Illinois",70,13.5,34340,42.8,70.5,87
"Gallatin County, Illinois",50.4,8.7,4828,45.1,70.5,87
"Greene County, Illinois",58.6,10.9,12969,44,70.5,87
"Grundy County, Illinois",82.1,16.9,51054,41.6,70.5,87
"Hamilton County, Illinois",64.1,15.2,8116,45.4,70.5,87
"Hancock County, Illinois",74.2,16.2,17708,41.8,70.5,87
"Hardin County, Illinois",62.9,8.8,3821,45.8,70.5,87
"Henderson County, Illinois",68.3,13.3,6646,41.4,70.5,87
"Henry County, Illinois",71,16.7,48913,40.6,70.5,87
"Iroquois County, Illinois",71.5,11.1,27114,41,70.5,87
"Jackson County, Illinois",73.7,21.8,56750,44.6,70.5,87
"Jasper County, Illinois",71,13.1,9610,44.7,70.5,87
"Jefferson County, Illinois",67.7,12.2,37684,45.3,70.5,87
"Jersey County, Illinois",65.1,16.9,21773,44.6,70.5,87
"Jo Daviess County, Illinois",77.9,20,21235,38.7,70.5,87
"Johnson County, Illinois",55.1,11.8,12417,45.7,70.5,87
"Kane County, Illinois",82.8,22.7,532403,40.6,70.5,87
"Kankakee County, Illinois",73,13.6,109862,40.8,70.5,87
"Kendall County, Illinois",87.4,22.5,128990,41.4,70.5,87
"Knox County, Illinois",65.5,13.5,49699,41.5,70.5,87
"Lake County, Illinois",85.5,30.3,696535,41.8,70.5,87
"LaSalle County, Illinois",73.4,13,108669,41,70.5,87
"Lawrence County, Illinois",65.5,10.3,15678,44.9,70.5,87
"Lee County, Illinois",71.2,13.7,34096,40.4,70.5,87
"Livingston County, Illinois",73.5,11.8,35648,42.1,70.5,87
"Logan County, Illinois",73.3,13.7,28618,42.7,70.5,87
"McDonough County, Illinois",75,19.8,29682,42.2,70.5,87
"McHenry County, Illinois",87.5,24,307774,40.6,70.5,87
"McLean County, Illinois",82.9,27.3,171517,42.5,70.5,87
"Macon County, Illinois",70.8,16.4,104009,42.7,70.5,87
"Macoupin County, Illinois",66.4,13.2,44926,43.6,70.5,87
"Madison County, Illinois",77.3,19.6,262966,44.4,70.5,87
"Marion County, Illinois",67.1,11.4,37205,45.2,70.5,87
"Marshall County, Illinois",68.6,13.3,11438,41.8,70.5,87
"Mason County, Illinois",69.8,12.1,13359,42.9,70.5,87
"Massac County, Illinois",49.1,10,13772,46.7,70.5,87
"Menard County, Illinois",76.7,16.5,12196,42.6,70.5,87
"Mercer County, Illinois",72.9,12.9,15437,41.4,70.5,87
"Monroe County, Illinois",84.5,25.8,34637,46.2,70.5,87
"Montgomery County, Illinois",70,13.3,28414,43.5,70.5,87
"Morgan County, Illinois",63.7,14.1,33658,42.9,70.5,87
"Moultrie County, Illinois",68.3,13.9,14501,42.8,70.5,87
"Ogle County, Illinois",76,15.3,50643,39.8,70.5,87
"Peoria County, Illinois",71.2,21.2,179179,42.5,70.5,87
"Perry County, Illinois",65.3,8.5,20916,44.6,70.5,87
"Piatt County, Illinois",78.5,21.1,16344,42.5,70.5,87
"Pike County, Illinois",62.7,10.9,15561,43.1,70.5,87
"Pope County, Illinois",42.6,13.4,4177,46,70.5,87
"Pulaski County, Illinois",28.5,8.4,5335,46.7,70.5,87
"Putnam County, Illinois",73.7,14.1,5739,41.7,70.5,87
"Randolph County, Illinois",65.3,9.5,31782,45.1,70.5,87
"Richland County, Illinois",71.7,14.8,15513,45.1,70.5,87
"Rock Island County, Illinois",73.5,16.5,141879,41,70.5,87
"St. Clair County, Illinois",70.8,19.9,259686,45.5,70.5,87
"Saline County, Illinois",60.6,14.5,23491,45.2,70.5,87
"Sangamon County, Illinois",75.3,23.9,194672,42.9,70.5,87
"Schuyler County, Illinois",73.2,15.9,6768,42.3,70.5,87
"Scott County, Illinois",66.3,15.1,4951,43.1,70.5,87
"Shelby County, Illinois",69.1,11.9,21634,43.3,70.5,87
"Stark County, Illinois",68.1,13.2,5342,41.2,70.5,87
"Stephenson County, Illinois",72.9,14.9,44498,39.2,70.5,87
"Tazewell County, Illinois",75.3,18.3,131803,42.8,70.5,87
"Union County, Illinois",48.5,16.8,16653,45.5,70.5,87
"Vermilion County, Illinois",65.8,10.7,75758,41.6,70.5,87
"Wabash County, Illinois",68.3,13.4,11520,45.4,70.5,87
"Warren County, Illinois",70.5,14.9,16844,41.4,70.5,87
"Washington County, Illinois",72.8,15.3,13887,45.2,70.5,87
"Wayne County, Illinois",63.6,10.1,16215,45.5,70.5,87
"White County, Illinois",69.2,12.5,13537,45.3,70.5,87
"Whiteside County, Illinois",73.1,13.4,55175,40.2,70.5,87
"Will County, Illinois",84.8,22.9,690743,41.6,70.5,87
"Williamson County, Illinois",63.6,18.4,66597,44.8,70.5,87
"Winnebago County, Illinois",73.1,15.8,282572,40,70.5,87
"Woodford County, Illinois",81.2,22.9,38459,42,70.5,87
"Adams County, Indiana",64,8.9,35777,43.1,70.5,121
"Allen County, Indiana",77.4,18.7,379299,42.8,70.5,121
"Bartholomew County, Indiana",76.8,23,83779,44.5,70.5,121
"Benton County, Indiana",72.2,12.3,8748,41.2,70.5,121
"Blackford County, Indiana",67.7,9.8,11758,43,70.5,121
"Boone County, Indiana",85.6,33.2,67843,42.8,70.5,121
"Brown County, Indiana",74.5,22.4,15092,43.4,70.5,121
"Carroll County, Indiana",66.9,10.7,20257,43,70.5,121
"Cass County, Indiana",66.1,8.9,37689,42.8,70.5,121
"Clark County, Indiana",76,14.3,118302,45.4,70.5,121
"Clay County, Indiana",71.1,11.5,26225,42.8,70.5,121
"Clinton County, Indiana",63.3,9.6,32399,42.7,70.5,121
"Crawford County, Indiana",57.9,7.4,10577,44.6,70.5,121
"Daviess County, Indiana",57.9,7.9,33351,44.7,70.5,121
"Dearborn County, Indiana",77.9,18,49458,44.4,70.5,121
"Decatur County, Indiana",73.5,13.2,26559,43.9,70.5,121
"DeKalb County, Indiana",74.3,12.1,43475,42.1,70.5,121
"Delaware County, Indiana",74.4,15.5,114135,43.5,70.5,121
"Dubois County, Indiana",72.9,17.3,42736,44.7,70.5,121
"Elkhart County, Indiana",71.3,12.3,206341,41.6,70.5,121
"Fayette County, Indiana",68.1,10.3,23102,42.6,70.5,121
"Floyd County, Indiana",77.7,20.6,78522,45.8,70.5,121
"Fountain County, Indiana",68.2,9.9,16346,42.2,70.5,121
"Franklin County, Indiana",70,14,22758,43.2,70.5,121
"Fulton County, Indiana",70.7,10.1,19974,42.2,70.5,121
"Gibson County, Indiana",71,12.7,33659,45.6,70.5,121
"Grant County, Indiana",68.3,12.2,65769,43,70.5,121
"Greene County, Indiana",67.4,10.6,31922,43,70.5,121
"Hamilton County, Indiana",91.6,37.9,338011,43.1,70.5,121
"Hancock County, Indiana",83,21.5,78168,43.4,70.5,121
"Harrison County, Indiana",71,12.9,40515,45.6,70.5,121
"Hendricks County, Indiana",87.3,25.4,170311,42.9,70.5,121
"Henry County, Indiana",71,11.7,47972,42.7,70.5,121
"Howard County, Indiana",73.4,14.6,82544,42.8,70.5,121
"Huntington County, Indiana",70.7,14.4,36520,42.7,70.5,121
"Jackson County, Indiana",71.2,12.1,44231,44.6,70.5,121
"Jasper County, Indiana",75.9,10.2,33562,41.4,70.5,121
"Jay County, Indiana",61.8,8.5,20436,42.9,70.5,121
"Jefferson County, Indiana",67,12,32308,45.1,70.5,121
"Jennings County, Indiana",71.1,8.7,27735,44.9,70.5,121
"Johnson County, Indiana",82.6,21.3,158167,43.5,70.5,121
"Knox County, Indiana",66.9,11.1,36594,45.2,70.5,121
"Kosciusko County, Indiana",75,16.2,79456,42.1,70.5,121
"LaGrange County, Indiana",52,6.7,39614,41.5,70.5,121
"Lake County, Indiana",71.1,15.7,485493,41.6,70.5,121
"LaPorte County, Indiana",75.4,13.4,109888,41.5,70.5,121
"Lawrence County, Indiana",68.6,13.3,45370,43.9,70.5,121
"Madison County, Indiana",69.9,12.7,129569,43.4,70.5,121
"Marion County, Indiana",73.7,21,964582,43.3,70.5,121
"Marshall County, Indiana",68.6,13.2,46258,41.7,70.5,121
"Martin County, Indiana",64.7,8.8,10255,44.1,70.5,121
"Miami County, Indiana",68.2,9.6,35516,42.8,70.5,121
"Monroe County, Indiana",84.1,26.1,148431,42.5,70.5,121
"Montgomery County, Indiana",73.1,14.2,38338,42.5,70.5,121
"Morgan County, Indiana",75.8,12.8,70489,42.7,70.5,121
"Newton County, Indiana",73.5,8.5,13984,41.1,70.5,121
"Noble County, Indiana",69.9,10.3,47744,41.9,70.5,121
"Ohio County, Indiana",69.6,10.8,5875,45.2,70.5,121
"Orange County, Indiana",63.5,9,19646,44.3,70.5,121
"Owen County, Indiana",63.5,10.6,20799,41.7,70.5,121
"Parke County, Indiana",63,8.8,16937,42.8,70.5,121
"Perry County, Indiana",68.3,11.4,19169,44.9,70.5,121
"Pike County, Indiana",60.9,10.9,12389,45.3,70.5,121
"Porter County, Indiana",81.3,19.7,170389,41.3,70.5,121
"Posey County, Indiana",76.2,16.3,25427,45.5,70.5,121
"Pulaski County, Indiana",71.6,9.1,12353,41.7,70.5,121
"Putnam County, Indiana",72.7,11.2,37576,42.4,70.5,121
"Randolph County, Indiana",70.9,11.4,24665,42.2,70.5,121
"Ripley County, Indiana",73.7,13.4,28324,44,70.5,121
"Rush County, Indiana",66.7,10.7,16581,43.2,70.5,121
"St. Joseph County, Indiana",75.5,20.2,271826,41.8,70.5,121
"Scott County, Indiana",60.7,9.1,23873,45,70.5,121
"Shelby County, Indiana",69.7,13.2,44729,44,70.5,121
"Spencer County, Indiana",68.4,12.4,20277,45.5,70.5,121
"Starke County, Indiana",68.4,8,22995,41.5,70.5,121
"Steuben County, Indiana",73.9,15.6,34594,41.4,70.5,121
"Sullivan County, Indiana",64.6,9.2,20669,44.1,70.5,121
"Switzerland County, Indiana",58.1,6.4,10751,45.5,70.5,121
"Tippecanoe County, Indiana",77.4,21.8,195732,42.7,70.5,121
"Tipton County, Indiana",70.4,18.6,15148,42.8,70.5,121
"Union County, Indiana",70.6,13.9,7054,42.4,70.5,121
"Vanderburgh County, Indiana",72.8,18.5,181451,46.2,70.5,121
"Vermillion County, Indiana",70.1,11.1,15498,42.8,70.5,121
"Vigo County, Indiana",73,16.1,107038,43.8,70.5,121
"Wabash County, Indiana",72.6,13.1,30996,42.7,70.5,121
"Warren County, Indiana",72.5,13.2,8265,41.5,70.5,121
"Warrick County, Indiana",81,22.6,62998,45.7,70.5,121
"Washington County, Indiana",65.5,8.6,28036,44.5,70.5,121
"Wayne County, Indiana",69.1,13.7,65884,41.9,70.5,121
"Wells County, Indiana",74.2,12.6,28296,42.8,70.5,121
"White County, Indiana",69.5,11.6,24102,42.1,70.5,121
"Whitley County, Indiana",79.7,15.6,33964,42.3,70.5,121
"Adair County, Iowa",68.5,13.3,7496,38.5,67,48
"Adams County, Iowa",72.9,12.4,3704,39.4,67,48
"Allamakee County, Iowa",68.4,12.5,14061,36.6,67,48
"Appanoose County, Iowa",67,13.2,12317,39.1,67,48
"Audubon County, Iowa",67.7,13.3,5674,36.6,67,48
"Benton County, Iowa",78.1,14.2,25575,36.9,67,48
"Black Hawk County, Iowa",75,18.7,131144,36.6,67,48
"Boone County, Iowa",77.2,17.8,26715,37,67,48
"Bremer County, Iowa",78,21.8,24988,35.9,67,48
"Buchanan County, Iowa",74.9,15.1,20565,36.5,67,48
"Buena Vista County, Iowa",70.7,12.5,20823,34.2,67,48
"Butler County, Iowa",69.2,13,14334,36.1,67,48
"Calhoun County, Iowa",76,13.8,9927,36.1,67,48
"Carroll County, Iowa",76.2,15.5,20760,36.7,67,48
"Cass County, Iowa",71.9,16.3,13127,38.1,67,48
"Cedar County, Iowa",75.2,14.9,18505,39,67,48
"Cerro Gordo County, Iowa",71.2,16.4,43127,34.7,67,48
"Cherokee County, Iowa",73.8,16,11658,33.5,67,48
"Chickasaw County, Iowa",67.2,12.2,12012,35,67,48
"Clarke County, Iowa",70.4,10.5,9748,39,67,48
"Clay County, Iowa",72.2,16.4,16384,33.4,67,48
"Clayton County, Iowa",68.5,12.7,17043,37.3,67,48
"Clinton County, Iowa",70.9,13.6,46460,40,67,48
"Crawford County, Iowa",67.4,10,16525,36.1,67,48
"Dallas County, Iowa",86,30,99678,37.5,67,48
"Davis County, Iowa",63.8,11.5,9110,39.9,67,48
"Decatur County, Iowa",70.8,16.8,7645,39.3,67,48
"Delaware County, Iowa",73.2,11.7,17488,37.4,67,48
"Des Moines County, Iowa",69.5,14,38910,40.7,67,48
"Dickinson County, Iowa",76.4,23.4,17703,33.4,67,48
"Dubuque County, Iowa",76.7,20.6,99266,38,67,48
"Emmet County, Iowa",69.9,12.8,9388,33.7,67,48
"Fayette County, Iowa",71.4,12.8,19509,35.7,67,48
"Floyd County, Iowa",66.9,13.6,15627,34.8,67,48
"Franklin County, Iowa",65.4,13.2,10019,35.6,67,48
"Fremont County, Iowa",74.6,14.2,6605,38.8,67,48
"Greene County, Iowa",73.4,14.2,8771,37.1,67,48
"Grundy County, Iowa",78.2,19,12329,36.5,67,48
"Guthrie County, Iowa",71.4,14.3,10623,37.1,67,48
"Hamilton County, Iowa",77,16.8,15039,36.3,67,48
"Hancock County, Iowa",71.5,15.6,10795,34.3,67,48
"Hardin County, Iowa",69.3,15.3,16878,36.1,67,48
"Harrison County, Iowa",75.7,12.9,14582,36.8,67,48
"Henry County, Iowa",74,14.9,20482,39.5,67,48
"Howard County, Iowa",70.5,12.3,9469,33.9,67,48
"Humboldt County, Iowa",73,13.9,9597,35.7,67,48
"Ida County, Iowa",66.6,11.8,7005,35,67,48
"Iowa County, Iowa",79.2,14.8,16662,38.5,67,48
"Jackson County, Iowa",72.7,13.7,19485,39.1,67,48
"Jasper County, Iowa",72,13.3,37813,38.1,67,48
"Jefferson County, Iowa",78.7,30.8,15663,39.4,67,48
"Johnson County, Iowa",87.8,31.7,152854,38.6,67,48
"Jones County, Iowa",72,14.2,20646,38.8,67,48
"Keokuk County, Iowa",71,13.1,10033,39.4,67,48
"Kossuth County, Iowa",71.5,12.8,14828,34.5,67,48
"Lee County, Iowa",68.5,13.3,33555,40.2,67,48
"Linn County, Iowa",81.7,22.6,230299,37.7,67,48
"Louisa County, Iowa",70.9,12.1,10837,41.4,67,48
"Lucas County, Iowa",64.8,11.5,8634,38.6,67,48
"Lyon County, Iowa",77.8,12.3,11934,32.6,67,48
"Madison County, Iowa",77.1,17,16548,38.5,67,48
"Mahaska County, Iowa",69.9,14.3,22190,39.1,67,48
"Marion County, Iowa",73.9,20.3,33414,38.6,67,48
"Marshall County, Iowa",70.7,13.7,40105,36.9,67,48
"Mills County, Iowa",80.7,18.7,14484,38.3,67,48
"Mitchell County, Iowa",75.8,15.2,10565,33.9,67,48
"Monona County, Iowa",68.8,11.3,8751,36.3,67,48
"Monroe County, Iowa",73.8,14.2,7577,39,67,48
"Montgomery County, Iowa",72.6,13.3,10330,38.8,67,48
"Muscatine County, Iowa",72.4,14.3,43235,40.6,67,48
"O'Brien County, Iowa",74.7,14.6,14182,32.9,67,48
"Osceola County, Iowa",73.7,10.3,6192,32.6,67,48
"Page County, Iowa",71.3,14.9,15211,39.3,67,48
"Palo Alto County, Iowa",73.8,17,8996,34.2,67,48
"Plymouth County, Iowa",77.7,14.7,25698,33.2,67,48
"Pocahontas County, Iowa",74.6,10.7,7078,35,67,48
"Polk County, Iowa",80.4,24.6,492401,38,67,48
"Pottawattamie County, Iowa",75.6,14.9,93667,37.4,67,48
"Poweshiek County, Iowa",74.1,18,18662,38.1,67,48
"Ringgold County, Iowa",70.5,14,4663,39.7,67,48
"Sac County, Iowa",72.2,12.5,9814,35.6,67,48
"Scott County, Iowa",76.6,21.9,174669,40.5,67,48
"Shelby County, Iowa",72.3,14.8,11746,36.6,67,48
"Sioux County, Iowa",80,17.1,35872,32.9,67,48
"Story County, Iowa",87.5,27.2,98537,37,67,48
"Tama County, Iowa",69.7,10.5,17135,36.8,67,48
"Taylor County, Iowa",70,10.7,5896,39.6,67,48
"Union County, Iowa",74.8,15.6,12138,39.8,67,48
"Van Buren County, Iowa",62,11.4,7203,39.7,67,48
"Wapello County, Iowa",69,13.3,35437,39.9,67,48
"Warren County, Iowa",80.9,20.1,52403,38.4,67,48
"Washington County, Iowa",77,14.6,22565,39.8,67,48
"Wayne County, Iowa",60.5,9.5,6497,38.7,67,48
"Webster County, Iowa",67.9,14,36999,36.3,67,48
"Winnebago County, Iowa",70.2,15.3,10679,33.7,67,48
"Winneshiek County, Iowa",77.1,19.6,20070,35.8,67,48
"Woodbury County, Iowa",71.6,14.7,105941,34.8,67,48
"Worth County, Iowa",69.8,13,7443,34.1,67,48
"Wright County, Iowa",67.9,11.1,12943,35.6,67,48
"Allen County, Kansas",69.4,12.4,12526,44,65,34
"Anderson County, Kansas",67.3,12.5,7836,43.3,65,34
"Atchison County, Kansas",67.6,12.9,16348,40.7,65,34
"Barber County, Kansas",68.9,15.1,4228,43.6,65,34
"Barton County, Kansas",66.4,14.9,25493,41.2,65,34
